BANKNAME,IFSC,MICR_CODE,BRANCH,ADDRESS,CONTACT1,CENTRE,DISTRICT,STATE
"NORTH MALABAR GRAMIN BANK",NMGB0000127,,PANAMARAM,"NORTH MALABAR GRAMIN BANK, PANAMARAM , P O PANAMARAM- 670 721, WAYANAD DISTRICT, KERALA, PH: 04935-220975",04935-220975,PANAMARAM,WAYANAD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000128,,"NEW MAHE","NORTH MALABAR GRAMIN BANK, NEW MAHE BRANCH, AMJAD COMPLEX, PO NEW MAHE, KANNUR , PIN: 673 311,PH: 0490 - 337494","0490 - 337494",THALASSERY,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000134,,PALAI,"NORTH MALABAR GRAMIN BANK, PALAI , AVANTHI COMPLEX, PALAI - 686 575, KERALA, PH: 04822 - 200833","04822 - 200833",PALAI,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000136,,KOTTAYAM,"NORTH MALABAR GRAMIN BANK, KOTTAYAM, PULIMOOTTIL ARCADE, K.K  ROAD,MUTTAMBALAM, KOTTAYAM - 686 004, KERALA, PH: 0481 - 2576220","0481 - 2576220",KOTTAYAM,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000138,,KUTHUPARAMBA,"NORTH MALABAR GRAMIN BANK, KUTHUPARAMBA BRANCH, POKUTHUPARAMBA, PUTHENPURA , BUILDING - 670 643, KANNUR DST, KERALA, PH: 0490 - 365399","0490 - 365399",KUTHUPARAMBA,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000140,,ALUVA,"NORTH MALABAR GRAMIN BANK, ALUVA, KAKKAT BUILDING, MARKET ROAD, OPP:FIRE STATION, ALUVA - 683 101 PH: 0484-2620825",0484-2620825,ALUVA,ERNAKULAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000141,,THALAYOLAPARAMBA,"NORTH MALABAR GRAMIN BANK, THALAYOLAPARAMBA, ANAPPARAMBIL SHOPPING COMPLEX, NEAR BUS STAND, THALAYOLAPARAMBU , P.O - 686 605, PH: 04829 - 237766","04829 - 237766",THALAYOLAPARAMBU,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000144,,MUNDAKAYAM,"NORTH MALABAR GRAMIN BANK, MUNDAKKAYAM, CSI CHURCH BUILDINGS, K K ROAD, , MUNDAKKAYAM - 686 513, KERALA, PH: 04828 - 273264","04828 - 273264",MUNDAKAYAM,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000146,,KANJIRAPALLY,"NORTH MALABAR GRAMIN BANK, KANJIRAPPALLY, KANJIRAPPALLY , P.O.-686 507, KOTTAYAM DIST, KERALA, PH: 04828 - 203757","04828 - 203757",KANJIRAPPALLY,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000153,,ALAPPUZHA,"NORTH MALABAR GRAMIN BANK, ALAPPUZHA BRANCH, 17/1842, SREE PECHI, ANKALAMMAN COMPLEX, CHURCH ROAD, PAZHAVANGADI-688 011, PH: 0477 2237557","0477 2237557",ALAPPUZHA,ALAPUZHA,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000207,,KALADY,"SYAM TOWER, NEAR SREESANKARA BRIDGE, KALADY P.O, ALUVA, ERNAKULAM PIN 683 574",0484-2244099,KALADY,ERNAKULAM,KERALA
