"BANK ","IFSC CODE","MICR CODE","BRANCH NAME",ADDRESS,CONTACT,CITY,DISTRICT,STATE
"GURGAON GRAMIN BANK",GGBK0001122,,"BAHORA KALAN","VPO:BHORAKALAN, DISTRICT GURGAON, HARYANA",0124-2379533,"BAHORA KALAN",GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001123,,BICHHOR,VPO:BICHHORE,01268-275278,BICHHOR,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001124,,BISRU,"VPO:BISRU, DISTRICT MEWAT, HARYANA",01268-205202,BISRU,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001125,,BUDHWAL,VPO:BUDHWAL,01282-221355,BUDHWAL,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001126,110025253,CARTERPURI,"PO:PALAM VIHAR, GURGAON PALAM ROAD, HANS PARK, NEAR ACP OFFICE,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122017.",0124-2368085,CARTERPURI,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001127,,CHANDAT,"VPO:CHANDHAT,DISTRICT PALWAL, HARYANA"," 01275-264207",CHANDAT,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001129,,DHANI-BHATHOTHA,"VPO:DHANI BHATOTA,DISTRICT-MAHENDERGARH,STATE-HARYANA.PINCODE-123001.",01282-206267,DHANI-BHATHOTHA,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001130,,DHANKOT,"VPO:DHANKOT,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122505.",0124-2278160,DHANKOT,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001131,,DHANODA,"VILL.DHANONDA, P.O.ATELI,NARNAUL,DISTRICT-MAHENDERGARH,STATE-HARYANA,PINCODE-123021.",01282-276190,DHANODA,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001132,,DHATIR,"VPO DHATIR, TEHSIL PALWAL,DIST-PALWAL,STATE-HARYANA,PINCODE-121102.",9315801132,DHATIR,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001133,,DHAUJ,"V.PO.DHAUJ, DISTRICT PALWAL, HARYANA"," 0129-2206573",DHAUJ,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001134,,DHOLEHRA,"VPO:DHOLERA,NARNAUL,DISTRICT-MAHENDERGARH,STATE-HARYANA.PINCODE-123001.",01282-273838,DHOLEHRA,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001135,,DIGHOT,"VPO:DIGHOT,DISTRICT-PALWA,STATE-HARYANA.PINCODE-121005.",9315371135,DIGHOT,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001136,,DUDHOLA,"VILL.DUDHOLA, PO:BAGHOLA,DISTRICT-PALWAL,STATE-HARYANA.PINCODE-121102.",01275-262342,DUDHOLA,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001137,,DULOTHAHIR,"VPO:DULOTH AHIR,DISTRICT-MAHENDERGARH,STATE-HARYANA.PINCODE-123029.",01285-242038,DULOTH,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001138,110025251,FARIDABAD,"NEAR ARYA SAMAJ MANDIR, MAIN MARKET , OLD FARIDABAD",0129-2501230,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001139,,"GANGIACHA AHIR","VILL.G.AHIR, PO.BIKANER,DISTRICT-REWARI,STATE-HARYANA.PINCODE-123401.",01274-247881,"GANGIACHA AHIR",REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001140,,BOLANI,"VILL.BOLNI, PO:GARHI BOLNI,DISTRICT-REWARI,STATE-HARYANA.PINCODE-123401.",01274-267126,BOLANI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001141,110025273,"GARHI HARSARU","VPO:GARHI HARSRU",0124-2276595,"GARHI HARSARU",GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001142,,GHAMROJ,VPO:GHAMROJ,0124-2393395,GHAMROJ,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001143,,GHANGOLA,VPO:GHANGOLA,0124-2318495,GHANGOLA,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001144,,GHARODA,"VILLAGE GHARODA,POST OFFICE:ALIPUR, DISTRICT FARIDABAD, HARYANA",0129-2402926,GHARODA,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001145,,GHAROT,VPO:GHAROT,9050684568,GHAROT,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001146,,GHASEDA,VPO:GHASEDA,01267-276524,GHASEDA,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001147,,GURAWADA,"VPO:GURAWARA, DISTRICT REWARI, HARYANA",01281-245737,GURAWADA,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001148,110025251,"GURGAON MAIN","NEAR ARYAN HOSPITAL, OLD RAILWAY ROAD,DIST-GURGAON,STATE-HARYANA.PINCODE-122001.",9310371148,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001149,,"HAILEY MANDI","VPO: HAILY MANDI,PATAUDI,,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122504.",0124-2670667,"HAILEY MANDI",GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001150,,HANSAKA,"VILL.HANSAKA, PO:SHEORAJ MAJRA,DISTRICT-REWARI.STATE-HARYANA,PINCODE-123401.",9315531150,HANSAKA,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001151,110025266,INDRI,"VPO:INDRI, DISTRICT MEWAT, HARYANA",9355051151,INDRI,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001152,,JAINABAD,"VILL.JAINABAD, PO.DAHINA,DISTRICT-REWARI,STATE-HARYANA.PINCODE-123411.",01281-248979,JAINABAD,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001153,,JASANA,"POST OFFICE:BADARPUR SAYEED",9310171153,JASANA,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001154,,JATUSANA,"VPO:JATUSANA, DISTRICT REWARI, HARYANA"," 01281-242016",JATUSANA,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001155,110025255,JHARSA,"VPO:JHARSA,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122003.",0124-2380265,JHARSA,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001156,,KALWADI,"VPO:KALWARI, DISTRICT MEWAT, HARYANA"," 01267-278328",KALWADI,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001157,,KANINA,"VPO:KANINA, DISTRICT MAHENDERGARH, HARYANA",01285-235178,KANINA,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001158,,KANTI,VPO:KANTI," 01282-274387",KANTI,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001159,,KAPRIWAS,"VILL.KAPRIWAS, PO:INDUSTRIAL AREA DHARUHERA,DISTRICT-REWARI.STATE-HARYANA,PINCODE-123110.",01274-242879,KAPRIWAS,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001160,,KASAN,"VPO:KASAN,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122050.",0124-2290379,KASAN,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001161,,KHAMBI,VPO:KHAMBI," 01275-273317",KHAMBI,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001162,110025254,KHANDSA,"VPO:KHANDSA, DISTRICT GURGAON, HARYANA",0124-2372616,KHANDSA,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001163,,"KHERI KALAN","VPO-KHERI KALAN, DISTRICT FARIDABAD, HARYANA"," 0129-2202687","KHERI KALAN",FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001164,,KHOL,"VPO:KHOL, DISTRICT REWARI, HARYANA",01281-240435,KHOL,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001165,,"JAMALPUR CHOWK","VPO:JAMALPUR CHOWK,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-123504.",0124-2280159,JAMALPUR,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001166,,KONDAL,"VPO:KONDAL, DISTRICT PALWAL, HARYANA"," 01275-261271",KONDAL,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001167,,KUSHAK,"VILL.KUSHAK, POST OFFICE:TAPPA,DISTRICT-PALWAL,STATE-HARYANA.PINCODE-121107.",01275-207866,KUSHAK,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001168,,LUKHI,"VPO:LUKHI,DISTRICT-REWARI.STATE-HARYANA,PINCODE-123303.",01259-271483,LUKHI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001169,,MADHOGARH,"VPO:MADHOGARH, DISTRICT MAHENDERGARH, HARYANA",01285-241160,MADHOGARH,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001170,,MALAB,VPO:MALAB,,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001171,,MALAI,VPO:MALAI,9671041902,MALAI,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001172,,MANDOLA,"VPO:MANDOLA, DISTRICTB REWARI, HARYANA",01281-220444,MANDOLA,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001173,,"MOHMMEDPUR AHIR","VPO:MOHD.PUR AHIR"," 01267-278100","MOHMMEDPUR AHIR",GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001174,,MOHNA,"VPO- MOHNA, DISTRICT FARIDABAD, HARYANA"," 01275-266526",MOHNA,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001175,,MUSHEDPUR,"PO:SHIVADI,",0124-2375653,MUSHEDPUR,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001176,,NAGINA,VPO:NAGINA,01268-273241,NAGINA,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001177,110025274,NAKHROLA,"VPO:NAKHROLA,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122001.",0124-2290032,NAKHROLA,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001178,,NANDRAMPURBAS,"VPO:NAND RAM PUR WAS, DISTRICT REWARI, HARYANA"," 01274-245764",NANDRAMPURBAS,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001180,,"NANGAL SHAHBAZPUR","VPO NANGAL SHAHBAJPUR",01284-294241,"NANGAL SHAHBAZPUR",REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001181,,NANUKALAN,"VPO:NANUKALAN, DISTRICT GURGAON, HARYANA"," 0124-2264021",NANUKALAN,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001182,,NARNAUL,"POST OFFICE:NARNAUL, SINGHANA ROAD, (SARASWATI COMPLEX) NEAR PETROL PUMP,NARNAUL,DISTRICT-MAHENDERGARH,STATE-HARYANA,PINCODE-123001.",01282-254785,NARNAUL,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001183,,NIWASNAGAR,"VILL.NIWAS NAGAR, PO:DHARSU",01282-260088,NIWASNAGAR,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001184,,NIZAMPUR,"VPO:NIZAMPUR,NARNAUL,DISTRICT-MAHENDERGARH,STATE-HARYANA.PINCODE-123001.",01282-242321,NIZAMPUR,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001185,,PACHGAON,"VPO:PACHGAON, DISTRIC GURGAON, HARYANA",9310371185,PACHGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001186,,PALI,"VPO-PALI, DISTRICT FARIDABAD, HARYANA"," 0129-2480289",PALI,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001188,110025258,PALLA,"12/5, BUNTI WALI GALI, POST OFFICE-AMAR NAGAR,"," 0129-2275093",PALLA,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001189,,PALWAL,"POST OFFICE:PALWAL, AGRA CHOWK, G.T.ROAD",01275-246832,PALWAL,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001190,,PALWALI,"VPO-KHERI KALAN, DISTRICT FARIDABAD, HARYANA",0129-2202598,PALWALI,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001191,110025269,PATAUDI,"VPO:PATAUDI, DISTRICT GURGAON, HARYANA",0124-2672626,PATAUDI,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001192,,PINANGWAN,"VPO:PINANGWAN, DISTRICT MEWAT,HARYANA",01268-279140,PINANGWAN,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001193,,"NANGAL TEJU","VPO:NANGAL TEJU,BAWAL,DISTRICT-REWARI,STATE-HARYANA.PINCODE-123501.",01284-265762,"NANGAL TEJU",REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001194,,PIRTHALA,"VPO:PRITHALA,DISTRICT-PALWAL,STATE-HARYANA.PINCODE-121102.",01275-362213,PIRTHALA,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001195,,PUNHANA,VPO:PUNHANA,01268-272600,PUNHANA,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001196,,"RATA KALAN",VPO:RATANKALAN," 01282-277510","RATA KALAN",MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001197,,RAWLI,"VPO:RAWALI, DISTRICT MEWAT, HARYANA",/01268-277887,RAWLI,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001198,110025288,REWARI,"PO:REWARI, NEAR RADHIKA CINEMA, CIRCULAR ROAD, REWARI",01274-253227,REWARI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001199,,SAKRAS,VPO:SAKRAS,01268-205906,SAKRAS,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001200,,SANGWARI,"VPO:SANGWARI,DISTRICT-REWARI,STATE-HARYANA.PINCODE-123401.",01274-249337,SANGWARI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001201,,"SROHI BHALI","VPO:SIROHI BHALI, DISTRICT MAHENDERGARH, HARYANA"," 01282-246308","SROHI BHALI",MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001202,,SEEHMA,"VPO:SEEHMA, DISTRICT MAHENDERGARH, HARYANA"," 01282-240403",SEEHMA,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001203,,SEHLONG,"VPO:SEHLONG, DISTRICT MAHENDERGARH, HARYANA"," 01285-234303",SEHLONG,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001204,,SHERPUR,VPO:SHERPUR,0124-2270436,SHERPUR,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001205,,SIKRAWA,"VPO:SHIKRAWA, DISTRICT MEWAT, HARYANA",01268-274278,SIKRAWA,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001206,,SHINGAR,VPO:SHINGAR,01268-201300,SHINGAR,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001207,,SIDHRAWALI,"VPO:SIDHRAWLI,,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122413.",0124-2679001,SIDHRAWALI,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001208,,SIHA,"VPO:SIHA, DISTRICT REWARI, HARYANA",01281-230512,SIHA,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001209,110025259,SIHI,"SCF-45,SECTOR-3,AT-SHI,DISTRICT-FARIDABAD,STATE-HARYANA,PINCODE-121004.",0129-2240847,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001210,110025256,SIKANDERPUR,"VILL.SIKANDERPUR, PO:DLF, PHASE-1,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122002.",9310171210,"SIKANDERPUR GHOSI",GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001211,,SIKRONA,"POST OFFICE-FATEHPUR TAGA, DISTRICT FARIDABAD, HARYANA"," 0129-2205077",SIKRONA,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001212,110025262,SOHNA,"POST OFFICE :SOHNA,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122013.",9310371212,SOHNA,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001213,,SONDHAD,"VPO:SONDHAD, DISTRICT PALWAL, HARYANA"," 01275-236922",SONDHAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001214,,SULTANPUR,"VPO:SULTANPUR, DISTRICT GURGAON, HARYANA",9310371214,SULTANPUR,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001215,,"KHERI KALAN","VPO-KHERI KALAN",01267-201277,"KHERI KALAN",FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001216,,SUNPED,"POST OFFICE-BALLABHGARH"," 0129-2208252",SUNPED,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001217,,TANKRI,"VPO:TANKRI, DISTRICT REWARI, HARYANA"," 01284-267907",TANKRI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001218,,TAURU,"VPO:TAURU, REWARI SOHNA ROAD,DISTRICT-MEWAT,STATE-HARYANA.PINCODE-122105.",01267-282341,TAURU,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001220,110025264,TIGAON,VPO-TIGAON,0129-2402673,TIGAON,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001221,,HODAL,"VPO:HODAL,DISTRICT-PALWA,STATE-HARYANA.PINCODE-121106.",9355231221,HODAL,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001222,,MAHENDRAGARH,"POST OFFICE:MAHENDERGARH, SHOPPING COMPLEX,DISTRICT-MAHENDERGARH,STATE-HARYANA,PINCODE-123029.",01285-221428,MAHENDRAGARH,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001223,,"NANGAL CHOWDHARY","VPO:NANGAL CHAUDHARY, BDPO-COMPLEX,NARNAUL,,DISTRICT-MAHENDERGARH,STATE-HARYANA,PINCODE-123023.",01282-278839,"NANGAL CHOWDHARY",MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001224,110025263,"GURGAON-(SEC 4)","SCO-33,SECTOR-4, MARKET GURGAON,"," 0124-2326534",GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001225,110025260,"NIT FARIDABAD","C/1 A, NEHRU GROUND FARIDABAD,DIST-FARIDABAD,STATE-HARYANA.PINCODE-121001.",9310171225,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001226,110025271,DHARUHERA,"VPO:DHARUHERA, NEAR HARYANA TOURIST COMPLEX, SOHNA REWARI ROAD,DISTRICT-REWARI.STATE-HARYANA,PINCODE-123303.",9315431226,DHARUHERA,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001227,,HATHIN,"VPO:HATHIN, OPP.GOVT.HIGH SCHOOL, HATHIN GAHLAB ROAD,DISTRICT-PALWAL,STATE-HARYANA.PINCODE-121103.",01275-261428,HATHIN,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001228,,KOSLI,"VPO:KOSLI, TEHSIL ROAD, RAILWAY STATION:KOSLI,DISTRICT-REWARI.STATE-HARYANA,PINCODE-123302.",01259-276552,KOSLI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001229,110025266,WAZIRABAD,"VPO-WAZIRABAD, OPPOSITE SENIOR SECONDARY SCHOOL, WAZIRABAD,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122002.",0124-2765036,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001230,,SILANI,"VPO:SILANI, LOCATION:SOHNA PALWAL ROAD",0124-2013002,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001231,,HASANPUR,"VPO:HASSANPUR, NEAR BUS STAND/POLICE STATION"," 01275-271494",HASSANPUR,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001232,,REWARI,"VPO:ROHRAI , LOCATION;ROHRAI MORE,DISTRICT-REWARI,STATE-HARYANA.PINCODE-123401.",01281-204112,REWARI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001233,,KHEWRA,"VPO:KHEWRA, GREAT MISSION SCHOOL, BAHALGARH MERRUT ROAD",0130-2110020,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001234,,QUAMASPUR,VPO:QUAMASPUR," 0130-2100060",SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001235,,KAKROI,"VPO:KAKROI, DISTRICT SONEPAT, HARYANA","  0130-2564926",SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001236,,"PANCHI JATAN","VILL.PANCHHI JATAN, PO:PURKHAS",0130-2425124,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001237,,ROHAT,"VPO:ROHAT, DISTRICT SONEPAT, HARYANA"," 0130-2525526",SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001238,110025265,BAHALGARH,"VPO:BAHALGARH, N H-1,DISTRICT-RONEPAT.STATE-HARYANA,PINCODE-131021.",9315641238,BAHALGARH,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001239,,RATHDHANA,"VPO:RATHDHANA, DISTRICT"," 0130-2110090",SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001240,110025268,DAULATABAD,"VPO:DAULATABAD,DISTRICT-GURGAON,STATE-HARYANA.PINCODE-122006.",0124-2468308,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001241,,BHONDSI,VPO:BHONDSI,0124-2265296,BHONDSI,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001242,,KATESRA,"VPO:KATESRA, PALWAL MOHNA ROAD",01275-206872,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001243,,"CHAND PURA","VPO:CHANDPURA, REWARI NARNAUL ROAD,DISTRICT-MAHENDERGARH,STATE-HARYANA.PINCODE-123021.",01282-204399,MAHENDRAGARH,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001244,110025275,KUNDLI,"VPO:KUNDLI,DISTRICT-SONEPAT.STATE-HARYANA,PINCODE-131028.",9355421244,KUNDLI,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001245,,UJINA,"VPO:UJINA, DISTRICT MEWAT, HARYANA",01267-275150,UJINA,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001246,,RAI,"VPO:RAI, DISTRICT SONEPAT, HARYANA"," 0130-2111203",RAI,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001247,,MANDKOLA,"VPO:MANDKOLA, MAIN BUS STAND,DISTRICT-MEWAT,STATE-HARYANA.PINCODE-121103.",9354221247,MANDKOLA,FARIDABAD,HARYANA
